title,company,location
"[잡플래닛 매칭] 반도체/디스플레이 자동화 S/W(C++(MFC), C#(.Net), 통신프로그램) 개발자",링크제니시스(주),경기
[잡플래닛 매칭] 영상관제(VMS) C++ SW개발,(주)네이즈,서울
FullStack( 풀스택 ) 개발자 모집  - 퀄리소프트 ,(주)퀄리소프트,서울
오프라인 리테일 테크 솔루션 그로잉 세일즈 Front-end 개발 업무,그로잉세일즈(주),인천
경영정보(신입),케이씨씨건설(주),서울
개발팀,(주)셀메이트,서울
Platform FLO 서비스 기획 담당자 채용 ,(주)드림어스컴퍼니,서울
"IT운영관리 솔루션 전문기업 - AI솔루션개발(신입,경력)",잡플래닛 매칭서비스,경기
[전문연구요원] AI R&D - Vision AI,(주)엔씨소프트,경기
[전문연구요원] AI R&D - Speech AI,(주)엔씨소프트,경기
[전문연구요원] AI R&D - Game AI,(주)엔씨소프트,경기
클라이언트(Android) 개발자 모집,(주)엔씨소프트,경기
[AI R&D] Language AI(NLP) Research 분야 수시 채용,(주)엔씨소프트,경기
지식관리팀,법무법인(유)율촌,서울
Growth Analyst ,마이뮤직테이스트,서울
[전문연구요원] AI R&D - Knowledge AI,(주)엔씨소프트,경기
[전문연구요원] AI R&D - Langauge AI,(주)엔씨소프트,경기
[법무법인(유) 율촌] 지식관리팀 직원 채용공고,법무법인(유)율촌,서울
1분기 MMORPG 3D 배경에셋 제작,(주)이스트게임즈,서울
1분기 개발자 채용,(주)이스트게임즈,서울
1분기 MMORPG 3D 애니메이터,(주)이스트게임즈,서울
"JAVA, JSP, J2EE, EJB, Servlet, C/C++, ASP, HTML, DB (Oracle, MS-SQL 등)",(주)디케이아이테크놀로지,서울
"네트워크 프로그래밍, 통신 프로토콜, 음성/데이터 통신",(주)디케이아이테크놀로지,서울
"스마트 폰(Android, iPhone) Application 개발",(주)디케이아이테크놀로지,서울
"UNIX, LINUX, Windows 시스템 프로그래밍",(주)디케이아이테크놀로지,서울
"웹/모바일 프로그래밍 (JSP, Flex, AJAX, XML, Struts, etc)",(주)디케이아이테크놀로지,서울
연구개발 / 전산,(주)바이오니아,대전
[리디주식회사] 모바일 앱 엔지니어,리디(주),서울
[리디주식회사] 프론트엔드 엔지니어,리디(주),서울
[리디주식회사]추천 엔지니어,리디(주),서울
[리디주식회사] 검색 엔지니어,리디(주),서울
[리디주식회사] 데이터 엔지니어,리디(주),서울
Matchmove,포스크리에이티브파티(주),서울
"[IT부문]증권 비대면 채널 개발 (HTS, MTS 개발/운영)",메리츠증권(주),서울
[전문연구요원] 신규모집,네이버랩스(주) ,경기
영업지원본부_서비스운영팀_웹개발자채용,(주)카카오브이엑스,경기
시스템본부_인프라개발팀_웹개발자/웹기획자 채용,(주)카카오브이엑스,경기
안드로이드 개발자 (신입/경력),마이리얼트립(주),모바일앱개발
iOS 개발자 (신입/경력),마이리얼트립(주),모바일앱개발
Back-end Developer,플러스엑스(주),서울
Front-end Developer,플러스엑스(주),서울
머신비젼 솔루션 기술연구원 채용,(주)씨앤아이시스템,인천
PHP 개발자 모집,(주)와이비엠넷 와이비엠잉글루,경기
AI분야 스타트업 - Data Analyst,잡플래닛 매칭서비스,경기
㈜아이즈솔 인공지능 영상분석 S/W 개발자 모집,(주)아이즈솔,대구
AI분야 스타트업 -  Machine Learning Engineer,잡플래닛 매칭서비스,경기
앱 기획 및 개발  신입/초급 모십니다. ,코드링크랩,서울
iOS 모바일앱 개발 및 유지보수 신입 채용,(주)증권통,서울
머신러닝/웹 크롤링/백엔드 개발자 채용,(주)유펜솔루션,서울
